variant,features,validation_pr_auc,validation_roc_auc,validation_precision,validation_recall,validation_review_rate,validation_estimated_cost,selected_threshold
baseline,18,0.9019963114764521,0.9934302077598329,0.23904052936311002,0.9287627209426889,0.0240273462600942,94100.0,0.7866255640983582
velocity,27,0.9798889287972687,0.9992293458554548,0.5244179443498013,0.9892876272094269,0.01166588275820951,18375.0,0.699160099029541
