model_name,parameters,feature_set,training_period_start,training_period_end,validation_pr_auc,validation_roc_auc,validation_precision,validation_recall,validation_false_positives,validation_false_negatives,validation_review_rate,validation_estimated_cost,selected_threshold,fit_seconds
xgboost_configured,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""aucpr"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": 5.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 250, ""n_jobs"": -1, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""sampling_method"": null, ""scale_pos_weight"": 165.7639201163867, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": 0}","[""amt"", ""city_pop"", ""is_male"", ""TX_HOUR"", ""TX_DAY_OF_WEEK"", ""TX_MONTH"", ""IS_WEEKEND"", ""AGE_AT_TX"", ""DIST_HOME_MERCH_KM"", ""PREV_TX_COUNT"", ""PREV_CUMULATIVE_AMT"", ""PREV_MEAN_AMT"", ""PREV_STD_AMT"", ""TIME_SINCE_LAST_TX"", ""IS_FIRST_CARD_TX"", ""AMT_VS_PREV_MEAN"", ""category"", ""profile""]",2020-01-01 00:01:13,2020-08-31 23:59:59,0.9019963114764521,0.9934302077598329,0.23904052936311002,0.9287627209426889,5520,133,0.0240273462600942,94100.0,0.7866255640983582,9.34914653596934
xgboost_conservative,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""aucpr"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.05, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 3, ""max_leaves"": null, ""min_child_weight"": 10.0, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 250, ""n_jobs"": -1, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""sampling_method"": null, ""scale_pos_weight"": 165.7639201163867, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": 0}","[""amt"", ""city_pop"", ""is_male"", ""TX_HOUR"", ""TX_DAY_OF_WEEK"", ""TX_MONTH"", ""IS_WEEKEND"", ""AGE_AT_TX"", ""DIST_HOME_MERCH_KM"", ""PREV_TX_COUNT"", ""PREV_CUMULATIVE_AMT"", ""PREV_MEAN_AMT"", ""PREV_STD_AMT"", ""TIME_SINCE_LAST_TX"", ""IS_FIRST_CARD_TX"", ""AMT_VS_PREV_MEAN"", ""category"", ""profile""]",2020-01-01 00:01:13,2020-08-31 23:59:59,0.8675980360962373,0.9913504308178555,0.21591625677891285,0.9169791108730584,6217,155,0.026263141507621577,108585.0,0.7966533899307251,9.354745695949532
logistic_regression,"{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 500, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""saga"", ""tol"": 0.001, ""verbose"": 0, ""warm_start"": false}","[""amt"", ""city_pop"", ""is_male"", ""TX_HOUR"", ""TX_DAY_OF_WEEK"", ""TX_MONTH"", ""IS_WEEKEND"", ""AGE_AT_TX"", ""DIST_HOME_MERCH_KM"", ""PREV_TX_COUNT"", ""PREV_CUMULATIVE_AMT"", ""PREV_MEAN_AMT"", ""PREV_STD_AMT"", ""TIME_SINCE_LAST_TX"", ""IS_FIRST_CARD_TX"", ""AMT_VS_PREV_MEAN"", ""category"", ""profile""]",2020-01-01 00:01:13,2020-08-31 23:59:59,0.6060891990155981,0.94930089279431,0.11053893905191874,0.8393144081414033,12609,300,0.04695501248733049,213045.0,0.9360150749571324,123.33106088102795
prevalence_baseline,"{""constant"": null, ""random_state"": null, ""strategy"": ""prior""}","[""amt"", ""city_pop"", ""is_male"", ""TX_HOUR"", ""TX_DAY_OF_WEEK"", ""TX_MONTH"", ""IS_WEEKEND"", ""AGE_AT_TX"", ""DIST_HOME_MERCH_KM"", ""PREV_TX_COUNT"", ""PREV_CUMULATIVE_AMT"", ""PREV_MEAN_AMT"", ""PREV_STD_AMT"", ""TIME_SINCE_LAST_TX"", ""IS_FIRST_CARD_TX"", ""AMT_VS_PREV_MEAN"", ""category"", ""profile""]",2020-01-01 00:01:13,2020-08-31 23:59:59,0.006184044040197943,0.5,0.0,0.0,0,1867,0.0,933500.0,0.005996500917597086,5.448092860984616
